Name,Year of release,Number of Episodes,Rating,Synopsis,Genre,Director,Cast,Rank
Tale of the Nine-Tailed,2020,16,8.4,"The mythical nine-tailed fox, or gumiho, Lee Yeon had to settle in the city many centuries ago. Able to transform into human form, he eradicates supernatural beings that threaten the mortal world. His real aim is to find the reincarnation of his lost first love. The talented television producer Nam Ji Ah works in a show that features urban myths. In the past, her parents were involved in a mysterious car accident and disappeared, and she suspects that Lee Yeon might be connected with this accident. The half-brother to Lee Yeon is the captivating Lee Rang. Despite being half-human himself, he harbors a deep-seated contempt for all people. For sport, he will unleash his seductive prowess upon his human-du-jour, by promising to grant them their wishes, only to trick them into paying a hefty price for their earthly desires.","Thriller, Horror, Romance, Fantasy","Kang Shin Hyo, Jo Nam Hyung","Lee Dong Wook, Jo Bo Ah, Kim Bum, Kim Yong Ji, Hwang Hee, Kim Jung Nan",#180
The Good Detective,2020,16,8.4,"When doubts arise about a five-year-old murder conviction, a veteran detective partners with a young hotshot to hunt down the case's hidden truths. Kang Do Chang is an 18-year veteran detective who one day, arrests an alleged murderer named Lee Dae Chul. The court later sentences him to death but when reviewing the file of his case, Do Chang discovers evidence that would clear Dae Chul. With time is running out as the mounting evidence threatens to expose the error, Do Chang is caught between seeking power and seeking justice when he meets Oh Ji Hyuk, an elite detective from the police force. These opposites partners begin working together.","Action, Thriller, Mystery, Drama",Jo Nam Gook,"Son Hyun Joo, Jang Seung Jo, Lee Elijah, Oh Jung Se, Ji Seung Hyun, Son Jong Hak",#181
He Is Psychometric,2019,16,8.4,"After losing his parents in a fire, Lee Ahn acquires the power of psychometry, the ability to read a person or an object's past through physical contact, and he decides to use it to take bad people down. While he does not know how to control his power yet, he meets Yoon Jae In who tries her best to hide her painful secrets. Together with his foster guardian, prosecutor Kang Seong Mo, and the latter's colleague, investigator Eun Ji Soo, they team up to solve an elusive case that has been haunting the lives of Ahn, Sung Mo, and Jae In. The case revolves around the life of prosecutor Kang's mother and father, who were the main cause of the fire. Jae In and Lee Ahn heal each other through their past present and future and find the culprit.","Thriller, Mystery, Romance, Supernatural",Kim Byung Soo,"Park Jin Young, Shin Ye Eun, Kim Kwon, Kim Da Som, Noh Jong Hyun, Go Yoon Jung",#182
One Spring Night,2019,32,8.4,"eeling trapped in a stale four-year relationship and reluctant to take the next step into marriage, Lee Jung In stumbles into Yu Ji Ho's pharmacy one morning, nursing a hangover after a night of drinking with her friend. As she tries to reassemble herself before going to work, Jung In discovers that she has forgotten her wallet and cannot pay. Ji Ho kindly helps Jung In, despite her prickly personality. What begins as an innocent daily interaction, develops into a deeper attachment as the two find themselves drawn to one another. They embark on a secret friendship while navigating the minefield of familial and societal expectations.","Romance, Life, Drama, Melodrama",Ahn Pan Seok,"Jung Hae In, Han Ji Min, Kim Joon Han, Im Sung Eon, Joo Min Kyung, Song Seung Hwan",#183
Soundtrack #1,2022,4,8.4,"Two people have been friends for two decades, but a mere two weeks of living together blurs that fine line between love and friendship. Han Sun Woo is a handsome rookie photographer with a warm personality, while Seo Eun Soo is a lively, straightforward, and honest person who openly expresses her feelings. Three years ago, she seized a chance opportunity to become a lyricist. Nowadays details of their relatable romance are subtly interwoven into her musical compositions.","Music, Romance",Kim Hee Won,"Park Hyung Sik, Han So Hee, Kim Joo Heon, Yoon Byung Hee, Park Min Jung, Park Hoon",#184
City Hunter,2011,20,8.4,"Lee Yoon Sung is a talented MIT-graduate who works on the international communications team in the Blue House. He plans revenge on five politicians who caused his father's death with his surrogate father Lee Jin Pyo and eventually becomes a ""City Hunter"".","Action, Thriller, Crime",Jin Hyeok,"Lee Min Ho, Park Min Young, Lee Joon Hyuk, Kim Sang Joong, Hwang Sun Hee, Kim Mi Sook",#185
Class of Lies,2019,16,8.3,"The drama is about a highly successful lawyer who falls from grace because of one case. He becomes a fixed term teacher at a high school that is tied to that case in order to regain his honor. Though he goes into the classroom for selfish reasons, he begins to see the crimes that take place and he takes matters into his own hands to help protect victims from their peers. The drama will shine a spotlight on the reality of teenagers facing little to no repercussions after committing a crime because they are teenagers, providing no protection for those who become a victim to these crimes.","Thriller, Mystery, Law, Youth","Sung Yong Il, Park Ji Hyun","Yoon Kyun Sang, Geum Sae Rok, Lee Jun Young, Choi Yoo Hwa, Choi Kyu Jin, Han So Eun",#186
100 Days My Prince,2018,16,8.3,"Lee Yul, Crown Prince of Joseon, is a perfectionist who disregards most royal palace nobles. His cold and demanding demeanor masks deeply-rooted loneliness. He comes to pass a law stating that Korean citizens of marriageable age must wed before the age of 28. Hong Shim is a strong, intelligent woman who supports herself and her father. After an attempt on his life, Crown Prince Lee Yul is severely injured and finds himself under the care of the Hong household. He’s experiencing temporary amnesia, and now unaware of his identity, he is free to wander at will as a commoner. Due to the law, he himself passed, Hong Shim, now the oldest unmarried woman in her village, must marry or face punishment from officials. Lee Yul proposes to Hong Shim that they ought to marry. Can their budding romance withstand Lee Yul’s eventual recovery, with his memory fully intact?","Historical, Comedy, Romance, Drama","Lee Jong Jae, Nam Sung Woo","Doh Kyung Soo, Nam Ji Hyun, Kim Seon Ho, Han So Hee, Jo Sung Ha, Kim Jae Young",#187
"At a Distance, Spring Is Green",2021,12,8.3,"A coming of age story about young people in their twenties and the problems they face in university. Nam Soo Hyun and Yeo Joon,  two boys with contrasting personalities, unexpectedly become friends when working on a project together. Depicts the realistic worries and conflicts of university students in their 20's, centered around 1st-year student Yeo Joon. Even though Yeo Joon has an attractive appearance and comes from a wealthy background, he carries pain inside. His character is a puppy-dog freshman who takes a liking to a sunbae and follows him around, leading to an unlikely friendship between two very different boys.","Romance, Life, Youth",Kim Jung Hyun,"Park Ji Hoon, Kang  Min Ah, Bae In Hyuk, Kwon Eun Bin, Choi Jung Woo, Woo Da Vi",#188
Lie After Lie,2020,16,8.3,"Ji Eun Su is a woman who appears to have it all. Married into a super-rich family, she assumes that the rest of her life will be an easy ride. But when her husband is murdered, she is sent to prison – with a court finding her guilty of killing her spouse. However, this will be no straightforward jail sentence: She is pregnant, and gives birth to a baby girl while still behind bars. The child is taken away from her and given to foster parents, with her adoptive father Kang Ji Min, a kind-hearted, justice-loving journalist. When Kang Ji Min finds himself alone and taking sole care of the young girl, Ji Eun Su – now free from prison – concocts a plan that she believes will reunite her with her daughter. She will find a way to win Kang Ji Min’s heart – and become her own daughter’s stepmother. But the truth has a way of coming out…and if it does, how will her new family react?","Thriller, Romance, Melodrama",Kim Jung Kwon,"Lee Yoo Ri, Yeon Jung Hoon, Lee Il Hwa, Im Ju Eun, Go Na Hee, Kwon Hwa Woon",#189
The Sound of Magic,2022,6,8.3,"High school student Yoon Ah Yi finances herself and her younger sister by working part-time jobs. She doesn't know where her parents are. Debt collectors drove her father away from home—and then her mother fled too. But even with her poor financial circumstances, Yoon Ah Yi manages to rank near the top of her school academically. Yoon Ah Yi wants to become an adult as soon as possible, to have a stable job. Her classmate Na Il Deung competes with Yoon Ah Yi for the top grade, but they begin to have feelings for each other. One day, Yoon Ah Yi meets magician Lee Eul at an abandoned amusement park. He performs magic shows for people who believe in magic. He is a mysterious person; he comforts Yoon Ah Yi who tells him that she believes in magic.","Music, Psychological, Drama, Fantasy",Kim Seong Yoon,"Ji Chang Wook, Choi Sung Eun, Hwang In Youp, Oh So Hyun, Ji Hye Won, Hong Jung Min",#190
The Mysterious Class,2021,8,8.3,"""There are 21 students in our class."" ""What are you talking about... Your class had 20 students right from the start..!!"" Peaceful class 4 of the 3rd grade of Treasure High. Friendship and a mystery thriller while doubting each other. Will they be able to find the ghost?","Mystery, Horror, Youth, Supernatural",Ha Han Me,"Choi Hyun Suk, Park Ji Hoon, Yoshi, Kim Jun Kyu, Mashiho, Yoon Jae Hyuk",#191
Good Doctor,2013,20,8.3,"Although Park Shi On is an autistic savant who lacked mental maturity and empathy, he graduated from medical school with distinction. His medical skills are exceptional, but he struggles to deal with his superiors and his patients due to his lack of interpersonal skills. As he struggles to adapt, some of his fellow doctors befriend him, supporting him during the most trying times. His dedication and exceptional skills should make him a great pediatrician, but can he overcome the systemic bias and discrimination or will he quit out of frustration?","Romance, Life, Drama, Medical","Kim Jin Woo, Ki Min Soo","Joo Won, Moon Chae Won, Joo Sang Wook, Kim Min Seo, Ha Kyu Won, Kim Hyun Soo",#192
"It's Okay, That's Friendship",2021,1,8.3,The 12 members of TREASURE take on acting for the first time ever since debut.,"Comedy, Life",,"Choi Hyun Suk, Park Ji Hoon, Kim Jun Kyu, Yoshi, Mashiho, Yoon Jae Hyuk",#193
